	Name	Purpose	Polarity	Subjectivity
108	Bradley-Wilcox	Streamlined systematic paradigm for innovate rich supply-chains	0.375	0.75
44	Reynolds and Sons	Up-sized multimedia adapter for integrate rich experiences	0.375	0.75
126	Watson Ltd	Function-based responsive time-frame for embrace compelling convergence	0.3	0.6
127	Rivera, Thompson and Brown	Up-sized impactful success for syndicate frictionless solutions	0.3	0.0
114	Brown PLC	Decentralized interactive emulation for envisioneer compelling vortals	0.3	0.6
141	Hart, Armstrong and Arroyo	Enhanced responsive architecture for whiteboard compelling convergence	0.3	0.6
304	Thompson, Caldwell and Molina	Centralized tertiary firmware for maximize compelling niches	0.3	0.6
223	Phillips Group	Networked incremental hub for architect compelling communities	0.3	0.6
224	Lambert-Cook	Triple-buffered even-keeled ability for synthesize compelling vortals	0.3	0.6
289	Barajas LLC	Exclusive human-resource success for envisioneer robust technologies	0.3	0.0
317	Wood PLC	Vision-oriented tertiary instruction set for streamline compelling ROI	0.3	0.6
431	Stevens, Sanchez and Wu	Public-key reciprocal success for streamline best-of-breed portals	0.3	0.0
497	Jackson Group	Multi-lateral modular success for engage bricks-and-clicks architectures	0.3	0.0
259	Blackburn-Adams	Profound coherent customer loyalty for unleash 24/365 bandwidth	0.2916666666666667	0.85
319	Robinson, Reed and Ashley	Profit-focused even-keeled open architecture for harness innovative metrics	0.25	0.75
337	Skinner Ltd	Networked coherent firmware for implement dynamic supply-chains	0.25	0.4333333333333333
378	Obrien, Munoz and Jenkins	Cross-group next generation implementation for synthesize sexy partnerships	0.25	0.5
262	Schwartz, Neal and Garcia	Advanced impactful Local Area Network for enhance one-to-one functionalities	0.2	0.3
84	Smith, Bates and Yates	Universal tertiary utilization for revolutionize compelling markets	0.15	0.3
483	Gilmore-Riley	Total mobile success for re-contextualize seamless paradigms	0.13333333333333333	0.2833333333333333
447	Herrera-Green	Realigned regional attitude for redefine seamless methodologies	0.1	0.1
7	Medina-Dorsey	Seamless interactive concept for aggregate killer e-markets	0.1	0.1
260	Kramer, Barber and Carpenter	Sharable intermediate process improvement for synergize seamless metrics	0.1	0.1
332	Holmes-Jacobs	Cloned demand-driven Internet solution for engineer seamless initiatives	0.1	0.1
24	Lynn-Alvarado	Front-line high-level toolset for leverage seamless portals	0.1	0.1
164	Dickerson, Henry and Estrada	Seamless homogeneous parallelism for disintermediate B2B paradigms	0.1	0.1
159	Jones Group	Seamless system-worthy process improvement for orchestrate B2B metrics	0.1	0.1
195	Zuniga-Foster	Profound methodical adapter for enhance user-centric methodologies	0.08333333333333333	1.0
273	Conway-Massey	Profound homogeneous parallelism for redefine extensible users	0.08333333333333333	1.0
310	Hicks LLC	Profound tertiary encryption for synergize out-of-the-box portals	0.08333333333333333	1.0
216	Parker-Martinez	Profound background data-warehouse for harness value-added deliverables	0.08333333333333333	1.0
324	Bautista, Swanson and Vaughan	Horizontal multimedia matrix for engage out-of-the-box communities	0.0	0.0
329	Blake-Lee	Reduced bottom-line pricing structure for repurpose end-to-end communities	0.0	0.0
328	Donovan, Martinez and Houston	Re-engineered even-keeled framework for transform viral e-services	0.0	0.0
485	Cook, Tran and Higgins	Cross-platform context-sensitive portal for integrate vertical interfaces	0.0	0.0
327	Sampson LLC	Re-contextualized content-based hierarchy for aggregate clicks-and-mortar vortals	0.0	0.0
326	Miller, Sanders and Griffith	Cross-platform human-resource migration for orchestrate collaborative supply-chains	0.0	0.0
325	Edwards LLC	Reduced intermediate conglomeration for iterate extensible architectures	0.0	0.0
457	Randall, Lucas and Moon	Devolved analyzing open system for syndicate revolutionary vortals	0.0	0.5
323	Cannon LLC	Reduced asymmetric paradigm for integrate global content	0.0	0.0
486	White-Morrison	Team-oriented regional ability for engage scalable paradigms	0.0	0.0
320	Hill-Trujillo	Down-sized leadingedge software for productize end-to-end e-tailers	0.0	0.0
487	Morales-Howell	Open-source executive secured line for unleash wireless web services	0.0	0.0
318	Hernandez PLC	User-centric homogeneous application for whiteboard best-of-breed e-tailers	0.0	0.0
488	Garcia, Thomas and Foster	Organic asymmetric attitude for target strategic info-mediaries	0.0	0.0
315	King, Delgado and Pena	Robust user-facing standardization for utilize one-to-one interfaces	0.0	0.0
314	Hess LLC	Triple-buffered value-added customer loyalty for deploy sticky systems	0.0	0.0
313	Newton Inc	Synergistic client-driven hierarchy for integrate next-generation mindshare	0.0	0.0
312	Lopez, King and Bowers	Optional cohesive neural-net for unleash open-source users	0.0	0.0
331	Gray Ltd	Managed multimedia framework for incentivize cross-media schemas	0.0	0.0
482	Sherman LLC	Balanced object-oriented hardware for innovate end-to-end convergence	0.0	0.0
333	Dixon, Calderon and Russell	Intuitive mission-critical protocol for benchmark visionary e-markets	0.0	0.0
345	Patterson, Suarez and Clark	Synchronized radical Internet solution for envisioneer viral technologies	0.0	0.0
354	Johnston-Palmer	Reactive fresh-thinking knowledge user for scale distributed vortals	0.0	0.0
353	Fernandez, George and Hunt	Virtual heuristic paradigm for benchmark B2B web-readiness	0.0	0.0
352	Calhoun LLC	Reverse-engineered even-keeled circuit for drive clicks-and-mortar niches	0.0	0.0
351	Shelton PLC	Inverse leadingedge model for deliver 24/365 content	0.0	0.0
350	Francis and Sons	Automated 4thgeneration initiative for seize distributed synergies	0.0	0.0
349	Smith, Manning and Floyd	Diverse zero-defect application for syndicate impactful channels	0.0	0.0
348	Henderson and Sons	Universal global definition for leverage best-of-breed e-commerce	0.0	0.0
347	Lester-Floyd	Organized intermediate portal for facilitate visionary action-items	0.0	0.0
346	Allen, Sharp and Nguyen	Persevering local framework for facilitate extensible e-business	0.0	0.0
344	Rodriguez and Sons	Programmable 24hour utilization for enhance front-end e-commerce	0.0	0.0
334	Haney and Sons	Customer-focused motivating complexity for scale one-to-one initiatives	0.0	0.0
343	Smith, Dawson and Brooks	Business-focused cohesive protocol for orchestrate proactive vortals	0.0	0.0
480	Jones, Johnson and Schultz	Enterprise-wide leadingedge extranet for scale B2C interfaces	0.0	0.0
341	Brown, Chambers and Santos	Customer-focused multimedia knowledge user for synthesize best-of-breed relationships	0.0	0.0
340	Palmer-Williams	Realigned scalable model for utilize interactive e-markets	0.0	0.0
339	Haas-Davis	Networked web-enabled software for re-intermediate transparent infrastructures	0.0	0.0
338	Cardenas Inc	Cross-group discrete leverage for harness B2B applications	0.0	0.0
481	Watts, Woodward and Harris	Intuitive cohesive function for maximize open-source solutions	0.0	0.0
336	Davis Group	Grass-roots 4thgeneration customer loyalty for engineer frictionless web-readiness	0.0	0.0
335	Rice and Sons	Enhanced regional infrastructure for monetize value-added e-tailers	0.0	0.0
311	James-Deleon	Secured heuristic focus group for evolve e-business systems	0.0	0.0
306	Boyd Ltd	Universal demand-driven Graphical User Interface for monetize enterprise methodologies	0.0	0.0
309	Mayer-Davis	Stand-alone transitional system engine for architect sticky deliverables	0.0	0.0
285	Decker-Grant	Customizable high-level encryption for engineer open-source partnerships	0.0	0.0
282	Le-Brock	Team-oriented clear-thinking productivity for grow value-added e-services	0.0	0.0
494	Barron-Hernandez	Distributed empowering flexibility for revolutionize wireless bandwidth	0.0	0.0
281	Castillo PLC	Vision-oriented well-modulated capacity for leverage world-class web services	0.0	0.0
495	Gordon, Johnson and Lopez	-emptive uniform throughput for incubate efficient supply-chains	0.0	0.0
280	King-Washington	Reverse-engineered mobile middleware for expedite cross-media vortals	0.0	0.0
279	Hicks-Lewis	Persistent zero tolerance synergy for productize distributed models	0.0	0.0
278	Farley Group	Ergonomic dedicated function for scale customized action-items	0.0	0.0
277	Landry-Schmidt	Inverse content-based process improvement for envisioneer plug-and-play models	0.0	0.0
276	Ball LLC	Exclusive intangible Graphic Interface for target back-end methodologies	0.0	0.4
275	Vance, Michael and Stafford	Triple-buffered transitional encoding for grow impactful initiatives	0.0	0.0
272	Levy-Garrison	Proactive multi-tasking approach for mesh next-generation vortals	0.0	0.0
496	Lopez, Marsh and Moore	Face-to-face intangible service-desk for mesh enterprise vortals	0.0	0.0
270	Smith-Farmer	Up-sized object-oriented utilization for exploit frictionless initiatives	0.0	0.0
269	Walter PLC	Fundamental explicit extranet for enable integrated action-items	0.0	0.0
268	Hanna Group	Team-oriented grid-enabled workforce for enhance magnetic applications	0.0	0.0
267	Schmidt-Brown	Open-architected grid-enabled projection for deploy next-generation content	0.0	0.0
266	Huffman, Norton and Cantu	Cloned client-driven system engine for envisioneer killer mindshare	0.0	0.0
265	Powell Ltd	Enterprise-wide intangible contingency for extend frictionless infrastructures	0.0	0.0
264	Mcclain, Mccarthy and Lozano	Upgradable clear-thinking data-warehouse for drive killer convergence	0.0	0.0
263	Hill PLC	Self-enabling global firmware for synergize web-enabled eyeballs	0.0	0.0
498	Stein Ltd	Cloned mission-critical workforce for empower efficient ROI	0.0	0.0
284	Orr-Pierce	Polarized dedicated encoding for strategize plug-and-play methodologies	0.0	0.0
286	Coleman-Lopez	Managed composite structure for implement out-of-the-box models	0.0	0.0
308	Oliver-Dickerson	Business-focused executive help-desk for grow cross-platform relationships	0.0	0.0
287	Harrison, Garcia and Patterson	Cross-platform global methodology for visualize ubiquitous convergence	0.0	0.0
307	Garcia, Myers and Rogers	Synchronized content-based monitoring for synthesize cutting-edge models	0.0	0.0
356	Johnson-Miller	Monitored maximized policy for evolve 24/7 communities	0.0	0.0
305	Walton-Dixon	Progressive modular focus group for visualize B2C ROI	0.0	0.0
489	Christian-Henderson	Object-based full-range encryption for harness value-added networks	0.0	0.0
303	Avila, Morales and Stanton	Total bifurcated portal for aggregate frictionless synergies	0.0	0.75
302	Guerrero, Fischer and Reyes	Intuitive uniform encryption for deploy back-end bandwidth	0.0	0.0
301	Barnes Ltd	Face-to-face context-sensitive capability for integrate sticky mindshare	0.0	0.0
300	Cruz Inc	Fundamental intangible neural-net for extend visionary solutions	0.0	0.0
298	Myers and Sons	Organized upward-trending methodology for facilitate dynamic metrics	0.0	0.16666666666666666
297	Rivera-Flores	Proactive client-server interface for expedite out-of-the-box ROI	0.0	0.0
296	Cardenas Group	Phased stable monitoring for facilitate robust architectures	0.0	0.0
295	Rodriguez PLC	Integrated object-oriented moratorium for aggregate vertical paradigms	0.0	0.0
294	Miller, Jensen and Nash	User-centric bifurcated analyzer for synthesize interactive infrastructures	0.0	0.0
293	Larson-Steele	Enhanced directional pricing structure for empower sticky interfaces	0.0	0.0
292	Morgan Inc	Self-enabling tangible migration for repurpose bleeding-edge portals	0.0	0.0
291	Anderson, Smith and Cox	Multi-tiered even-keeled matrix for synthesize back-end platforms	0.0	0.0
490	Kaufman-Murray	Open-source disintermediate website for unleash turn-key synergies	0.0	0.0
491	Harrison Group	Multi-channeled background archive for matrix end-to-end methodologies	0.0	0.0
290	Pope and Sons	Horizontal asymmetric Local Area Network for seize sticky bandwidth	0.0	0.0
492	Haas Group	Synergistic uniform open architecture for aggregate global channels	0.0	0.25
288	Schwartz PLC	Polarized high-level software for morph strategic deliverables	0.0	0.0
355	Reyes, Wilson and Lyons	Operative zero-defect database for mesh viral channels	0.0	0.0
479	guyen, Ruiz and Smith	Open-architected executive moderator for optimize collaborative portals	0.0	0.0
456	Carter Ltd	Open-source even-keeled info-mediaries for target turn-key networks	0.0	0.0
358	Mclaughlin and Sons	Intuitive exuding encoding for envisioneer customized e-tailers	0.0	0.0
427	Jones-Davis	Networked responsive solution for strategize web-enabled bandwidth	0.0	0.0
426	Leach-Riggs	Customizable zero-defect framework for grow plug-and-play relationships	0.0	0.0
425	Kline-Hatfield	Polarized demand-driven software for enhance magnetic deliverables	0.0	0.0
424	Smith, Hood and Thomas	Re-contextualized logistical Graphical User Interface for envisioneer B2C applications	0.0	0.0
423	Hamilton-Conrad	Customer-focused hybrid open system for seize vertical portals	0.0	0.5
422	Franklin and Sons	Public-key heuristic infrastructure for leverage best-of-breed portals	0.0	0.0
421	Hill, Brady and Kennedy	Organized multi-state service-desk for maximize leading-edge eyeballs	0.0	0.0
420	Cole, Daniels and Brooks	Total value-added algorithm for disintermediate 24/7 platforms	0.0	0.75
460	Mills Ltd	found fresh-thinking infrastructure for monetize magnetic action-items	0.0	0.0
418	Gillespie-Smith	Phased actuating utilization for optimize integrated web-readiness	0.0	0.0
461	Castaneda, Lynch and Hodge	Re-engineered clear-thinking Local Area Network for drive 24/365 portals	0.0	0.0
417	Watson, Sanchez and Graves	Team-oriented well-modulated hardware for unleash global web services	0.0	0.0
416	Hanna, King and Byrd	Front-line disintermediate product for innovate interactive experiences	0.0	0.0
415	Coleman-Mccall	Focused tangible service-desk for drive impactful functionalities	0.0	0.0
462	Stewart-Mitchell	Vision-oriented mission-critical intranet for implement scalable channels	0.0	0.0
413	Richards LLC	Synchronized maximized projection for repurpose plug-and-play web services	0.0	0.0
412	Randolph and Sons	Digitized client-server customer loyalty for syndicate frictionless platforms	0.0	0.0
411	Matthews-Jackson	Multi-tiered composite ability for innovate revolutionary paradigms	0.0	0.0
410	Alvarez Group	Fully-configurable intangible hierarchy for benchmark ubiquitous functionalities	0.0	0.0
409	Wu-Long	Self-enabling reciprocal interface for exploit real-time supply-chains	0.0	0.0
408	Bell, Harris and Bean	De-engineered solution-oriented circuit for exploit distributed systems	0.0	0.0
407	Gibbs-Hayes	Virtual grid-enabled time-frame for extend front-end eyeballs	0.0	0.0
406	Larson, Mitchell and Butler	Digitized 24hour open architecture for exploit magnetic models	0.0	0.5
428	Olson PLC	Intuitive disintermediate data-warehouse for strategize granular e-business	0.0	0.0
429	Blankenship-Hahn	Cloned well-modulated Graphic Interface for grow intuitive channels	0.0	0.4
430	Sanchez Group	Persistent full-range strategy for facilitate distributed content	0.0	0.0
444	Henderson-Farrell	Phased value-added concept for seize global eyeballs	0.0	0.0
455	Gonzales PLC	Cloned holistic orchestration for harness holistic convergence	0.0	0.0
454	Moody LLC	Quality-focused interactive process improvement for syndicate back-end interfaces	0.0	0.0
453	Hill LLC	Sharable intermediate structure for evolve next-generation e-tailers	0.0	0.0
452	Phillips, Hawkins and Massey	Decentralized full-range encryption for exploit dynamic networks	0.0	0.16666666666666666
451	Patel-Sanchez	Reverse-engineered real-time infrastructure for iterate turn-key eyeballs	0.0	0.0
450	Bryan, Walters and Hernandez	Right-sized responsive support for empower scalable systems	0.0	0.0
449	Jones and Sons	Exclusive system-worthy software for leverage wireless info-mediaries	0.0	0.0
448	Mendez LLC	Secured directional synergy for expedite distributed partnerships	0.0	0.0
446	Perez, Farrell and Coleman	Synergistic discrete matrices for iterate revolutionary systems	0.0	0.0
445	Ruiz, Dawson and Gutierrez	Switchable composite groupware for transition best-of-breed platforms	0.0	0.0
443	Sawyer, Cherry and Love	Multi-channeled 3rdgeneration budgetary management for e-enable enterprise deliverables	0.0	0.0
459	Marquez Ltd	Reactive homogeneous budgetary management for mesh holistic communities	0.0	0.0
442	Floyd, Ross and Tapia	Sharable executive protocol for orchestrate cutting-edge web services	0.0	0.0
441	Schmidt, Johnson and Roy	Realigned systemic superstructure for orchestrate 24/365 metrics	0.0	0.0
458	Avila and Sons	Monitored incremental Graphical User Interface for envisioneer efficient e-tailers	0.0	0.0
438	Reeves-Gilbert	Ergonomic dynamic project for optimize virtual users	0.0	0.16666666666666666
437	Lewis, Fitzgerald and Frank	Inverse human-resource database for leverage B2C convergence	0.0	0.0
436	Allen-Tapia	Virtual systematic product for innovate killer info-mediaries	0.0	0.0
435	Davis, Williams and Schmidt	Object-based eco-centric neural-net for deploy wireless applications	0.0	0.0
434	Pham-Robertson	Up-sized contextually-based moderator for re-intermediate world-class web services	0.0	0.0
433	Dixon, Hammond and Briggs	Customizable regional standardization for implement open-source content	0.0	0.0
432	Walker, Davidson and Wiley	Multi-channeled actuating concept for whiteboard open-source vortals	0.0	0.0
463	Sloan LLC	Networked bottom-line infrastructure for deliver 24/7 web-readiness	0.0	0.0
464	Smith and Sons	Sharable explicit methodology for iterate next-generation architectures	0.0	0.0
467	Warren LLC	Right-sized local application for synthesize plug-and-play functionalities	0.0	0.0
368	Wade, Peck and Rose	Expanded reciprocal matrices for iterate web-enabled mindshare	0.0	0.0
258	Carroll Group	Horizontal national capability for extend bricks-and-clicks platforms	0.0	0.0
377	Young-Williams	Multi-tiered local system engine for cultivate turn-key markets	0.0	0.0
376	Vasquez, Garcia and Fletcher	Exclusive disintermediate algorithm for seize 24/365 web-readiness	0.0	0.0
375	Willis, Martinez and Smith	Switchable regional website for disintermediate cross-media e-business	0.0	0.0
374	Mercado PLC	Re-contextualized multi-state superstructure for utilize scalable content	0.0	0.0
373	Perry-Fox	Realigned fault-tolerant system engine for re-intermediate cross-media schemas	0.0	0.0
372	Beard, Duke and Martin	Customer-focused web-enabled contingency for cultivate efficient interfaces	0.0	0.0
371	Haynes, Young and Patel	Progressive background middleware for innovate cross-media niches	0.0	0.0
370	Hughes-Medina	Multi-lateral intermediate encryption for morph viral schemas	0.0	0.0
369	Stevens-Hill	Right-sized human-resource middleware for productize enterprise experiences	0.0	0.0
367	Sherman-Russo	Cloned bi-directional system engine for seize ubiquitous technologies	0.0	0.0
474	Brown-Nguyen	Automated 24hour ability for strategize visionary web services	0.0	0.0
475	Marshall, Campbell and Fisher	Extended 4thgeneration complexity for empower bricks-and-clicks paradigms	0.0	0.0
366	Foley, Mitchell and Davis	Fundamental bifurcated capability for transition B2C architectures	0.0	0.0
365	Johnson-Osborne	Reverse-engineered bandwidth-monitored extranet for synergize customized metrics	0.0	0.0
364	Davis-Flores	Up-sized object-oriented superstructure for aggregate bricks-and-clicks channels	0.0	0.0
363	Nelson-Brown	Function-based systemic contingency for re-contextualize visionary mindshare	0.0	0.0
362	Johnson-Wilson	Grass-roots neutral focus group for optimize granular infrastructures	0.0	0.0
361	Castillo-Schroeder	Vision-oriented national secured line for productize turn-key convergence	0.0	0.0
476	Donaldson, Vaughn and Dean	Focused needs-based analyzer for innovate turn-key synergies	0.0	0.0
360	Rogers, Howell and Harvey	Open-architected disintermediate project for evolve mission-critical methodologies	0.0	0.0
477	Campos, Willis and Sanchez	Exclusive logistical throughput for streamline next-generation systems	0.0	0.0
379	Owens, Callahan and Summers	Synergistic mobile product for brand world-class systems	0.0	0.0
473	Dean-Howe	Organic even-keeled open architecture for synergize web-enabled partnerships	0.0	0.5
403	Taylor-Adams	Polarized explicit middleware for extend user-centric networks	0.0	0.0
391	Vargas and Sons	Focused modular algorithm for optimize dot-com architectures	0.0	0.0
468	Cantu and Sons	Re-contextualized methodical info-mediaries for extend back-end content	0.0	0.0
401	Morgan Group	Re-contextualized eco-centric knowledgebase for grow efficient niches	0.0	0.0
400	Simpson, Hayes and Wright	Versatile solution-oriented paradigm for integrate out-of-the-box methodologies	0.0	0.0
399	Davis, Valdez and Keller	Ameliorated client-server architecture for matrix real-time initiatives	0.0	0.0
397	Fox, Adams and Johnson	User-centric user-facing access for monetize web-enabled systems	0.0	0.0
469	Stafford-Reyes	Versatile bottom-line hierarchy for re-intermediate world-class markets	0.0	0.0
395	Clark Group	Customer-focused 24/7 portal for transform strategic portals	0.0	0.0
394	Casey Inc	Synchronized systematic solution for empower efficient deliverables	0.0	0.0
393	Martin LLC	Realigned user-facing capacity for enhance open-source niches	0.0	0.0
392	Gonzalez-Long	Monitored mission-critical budgetary management for envisioneer killer partnerships	0.0	0.0
471	Rose-Gardner	Horizontal eco-centric architecture for repurpose integrated technologies	0.0	0.0
380	Davis LLC	Optional composite paradigm for deploy B2B channels	0.0	0.0
390	Carter, Parrish and Gonzalez	Distributed even-keeled contingency for transform enterprise e-business	0.0	0.0
389	Flowers, Pollard and Henry	Up-sized grid-enabled capacity for orchestrate synergistic supply-chains	0.0	0.0
388	Walker-Johnson	User-friendly incremental model for facilitate back-end technologies	0.0	0.0
387	Moody Group	Configurable multimedia methodology for benchmark e-business models	0.0	0.0
386	Walker and Sons	Open-architected 3rdgeneration instruction set for generate turn-key relationships	0.0	0.0
472	Mendoza, Gonzalez and Wilson	Team-oriented asymmetric task-force for aggregate ubiquitous models	0.0	0.0
384	Smith LLC	Sharable zero administration definition for monetize integrated portals	0.0	0.0
383	Gross-Jackson	Intuitive local neural-net for streamline customized markets	0.0	0.0
382	Lang-Frank	Multi-lateral homogeneous solution for facilitate user-centric relationships	0.0	0.0
381	Morgan-Franklin	Total fresh-thinking task-force for innovate mission-critical interfaces	0.0	0.75
0	Evans Ltd	Team-oriented upward-trending focus group for redefine synergistic users	0.0	0.0
250	Montoya, Camacho and Harrison	Compatible bottom-line structure for grow vertical e-services	0.0	0.0
257	Knight Inc	Fundamental global help-desk for integrate web-enabled infrastructures	0.0	0.0
99	Wong, Williams and Moreno	Quality-focused tangible software for exploit world-class applications	0.0	0.0
97	Fleming Inc	Implemented intermediate matrices for orchestrate magnetic experiences	0.0	0.0
96	Allen, Evans and Patel	Front-line upward-trending throughput for e-enable viral infrastructures	0.0	0.0
94	Anderson LLC	Digitized analyzing secured line for synthesize efficient e-tailers	0.0	0.0
93	Zhang-Hill	Ergonomic directional hub for revolutionize end-to-end models	0.0	0.0
92	Cox, Livingston and Davis	Total non-volatile firmware for grow world-class networks	0.0	0.75
91	Tran-Morris	Operative exuding neural-net for matrix value-added vortals	0.0	0.0
90	Martinez-Miles	Reactive context-sensitive leverage for optimize e-business supply-chains	0.0	0.0
89	Wilson-Hernandez	Open-architected bottom-line conglomeration for harness end-to-end info-mediaries	0.0	0.0
88	Norton, Santana and Evans	Automated reciprocal service-desk for unleash virtual e-commerce	0.0	0.0
87	Merritt Ltd	Sharable maximized moratorium for empower cutting-edge niches	0.0	0.0
83	Weiss-Hernandez	Customizable background help-desk for productize collaborative metrics	0.0	0.0
82	Hall, Jackson and Robertson	Down-sized modular website for synthesize virtual ROI	0.0	0.0
81	Turner-Nelson	Programmable local website for visualize enterprise supply-chains	0.0	0.0
80	Mclean and Sons	Open-architected modular ability for integrate turn-key methodologies	0.0	0.0
79	Dawson, Cardenas and Flores	Phased local access for integrate B2C web-readiness	0.0	0.0
78	Taylor Ltd	Progressive mobile info-mediaries for benchmark bleeding-edge niches	0.0	0.0
77	Andrews Group	Total eco-centric interface for whiteboard killer mindshare	0.0	0.75
76	Baker-Johnson	Horizontal grid-enabled function for seize global networks	0.0	0.0
75	Cox-Sandoval	Reactive optimal solution for generate e-business metrics	0.0	0.0
74	Smith, Richardson and Johnson	Configurable fault-tolerant infrastructure for transition collaborative communities	0.0	0.0
73	Bird, Parker and Cole	Future-proofed clear-thinking approach for harness B2B web-readiness	0.0	0.0
72	Fritz Group	Robust directional functionalities for morph open-source users	0.0	0.0
71	Clark Ltd	Business-focused fault-tolerant initiative for visualize dot-com e-services	0.0	0.0
70	Rice, Holden and Gomez	Switchable methodical budgetary management for expedite proactive networks	0.0	0.0
69	Woods Inc	Distributed well-modulated utilization for morph cross-platform content	0.0	0.0
98	Ferguson, Brown and Floyd	Devolved zero administration middleware for deploy transparent info-mediaries	0.0	0.0
100	Logan Inc	Focused executive interface for visualize mission-critical niches	0.0	0.0
67	Aguilar LLC	Customer-focused hybrid database for optimize e-business models	0.0	0.0
102	Gallagher, Potts and Soto	Public-key zero administration encoding for enhance proactive channels	0.0	0.0
131	Harper, Robinson and Carson	Programmable value-added intranet for drive 24/365 portals	0.0	0.0
130	Ballard-Watkins	Function-based value-added policy for scale global infrastructures	0.0	0.0
129	Johnson, Brown and Freeman	Cross-platform tangible capacity for architect synergistic deliverables	0.0	0.0
256	Yu-Mckenzie	Ergonomic asynchronous interface for facilitate leading-edge partnerships	0.0	0.0
125	Berry Ltd	Distributed 6thgeneration encoding for synthesize wireless e-business	0.0	0.0
124	Kelley, Gomez and Hood	Business-focused methodical framework for synergize open-source applications	0.0	0.0
123	Jones and Sons	Compatible attitude-oriented core for empower global infrastructures	0.0	0.0
122	Anderson PLC	Diverse composite software for engage scalable users	0.0	0.0
121	Harrison-Cruz	Optimized executive matrix for cultivate extensible markets	0.0	0.0
120	Torres-Durham	Synchronized bi-directional model for seize synergistic functionalities	0.0	0.0
119	Chase, Murphy and Wise	Vision-oriented leadingedge Local Area Network for synergize customized ROI	0.0	0.0
118	Ellis LLC	Polarized real-time encryption for evolve clicks-and-mortar methodologies	0.0	0.0
117	Hensley, Johnson and Martinez	Upgradable value-added neural-net for unleash impactful partnerships	0.0	0.0
116	Hernandez, Goodwin and Montgomery	User-friendly grid-enabled solution for engineer interactive supply-chains	0.0	0.0
115	Anderson-Underwood	Down-sized upward-trending initiative for enhance scalable experiences	0.0	0.0
113	Ryan-Hernandez	Down-sized 24hour toolset for deliver enterprise platforms	0.0	0.0
112	Cortez PLC	Managed attitude-oriented migration for whiteboard holistic schemas	0.0	0.0
111	Smith, Gomez and Ellison	Distributed optimal analyzer for orchestrate clicks-and-mortar e-business	0.0	0.0
110	Bridges PLC	Realigned tertiary orchestration for unleash wireless technologies	0.0	0.0
109	Garcia-Gomez	Cross-group next generation forecast for target mission-critical info-mediaries	0.0	0.0
107	Turner, Alvarez and Hodge	Inverse user-facing policy for cultivate distributed e-commerce	0.0	0.0
106	Johnston Group	Public-key even-keeled complexity for embrace killer networks	0.0	0.0
105	Khan, Blackburn and Allen	Grass-roots impactful architecture for scale vertical partnerships	0.0	0.0
104	Morales-Frey	Progressive value-added productivity for benchmark frictionless synergies	0.0	0.0
